"Ukazatel","IndicatorType","Takticko statistická klasifikace kriminality Police ČR","TSKKC","Území","Uz02","Roky","CasR","Hodnota"
"Počet registrovaných skutků","6068","Celková kriminalita","0-999","Královéhradecký kraj","CZ052","2018","2018","6723"
"Počet registrovaných skutků","6068","Celková kriminalita","0-999","Královéhradecký kraj","CZ052","2019","2019","7132"
"Počet registrovaných skutků","6068","Celková kriminalita","0-999","Královéhradecký kraj","CZ052","2020","2020","5794"
"Počet registrovaných skutků","6068","Celková kriminalita","0-999","Královéhradecký kraj","CZ052","2021","2021","5268"
"Počet registrovaných skutků","6068","Celková kriminalita","0-999","Královéhradecký kraj","CZ052","2022","2022","6659"
"Počet registrovaných skutků","6068","Celková kriminalita","0-999","Královéhradecký kraj","CZ052","2023","2023","6817"
"Počet registrovaných skutků","6068","Celková kriminalita","0-999","Královéhradecký kraj","CZ052","2024","2024","6731"
"Počet registrovaných skutků","6068","Celková kriminalita","0-999","Pardubický kraj","CZ053","2005","2005","10288"
"Počet registrovaných skutků","6068","Celková kriminalita","0-999","Pardubický kraj","CZ053","2006","2006","9587"
"Počet registrovaných skutků","6068","Celková kriminalita","0-999","Pardubický kraj","CZ053","2007","2007","10483"
"Počet registrovaných skutků","6068","Celková kriminalita","0-999","Pardubický kraj","CZ053","2008","2008","10062"
"Počet registrovaných skutků","6068","Celková kriminalita","0-999","Pardubický kraj","CZ053","2009","2009","9226"
"Počet registrovaných skutků","6068","Celková kriminalita","0-999","Pardubický kraj","CZ053","2010","2010","8877"
"Počet registrovaných skutků","6068","Celková kriminalita","0-999","Pardubický kraj","CZ053","2011","2011","9160"
"Počet registrovaných skutků","6068","Celková kriminalita","0-999","Pardubický kraj","CZ053","2012","2012","8994"
"Počet registrovaných skutků","6068","Celková kriminalita","0-999","Pardubický kraj","CZ053","2013","2013","9092"
"Počet registrovaných skutků","6068","Celková kriminalita","0-999","Pardubický kraj","CZ053","2014","2014","8380"
"Počet registrovaných skutků","6068","Celková kriminalita","0-999","Pardubický kraj","CZ053","2015","2015","6812"
"Počet registrovaných skutků","6068","Celková kriminalita","0-999","Pardubický kraj","CZ053","2016","2016","5933"
"Počet registrovaných skutků","6068","Celková kriminalita","0-999","Pardubický kraj","CZ053","2017","2017","5808"
"Počet registrovaných skutků","6068","Celková kriminalita","0-999","Pardubický kraj","CZ053","2018","2018","5558"
"Počet registrovaných skutků","6068","Celková kriminalita","0-999","Pardubický kraj","CZ053","2019","2019","5636"
"Počet registrovaných skutků","6068","Celková kriminalita","0-999","Pardubický kraj","CZ053","2020","2020","4778"
"Počet registrovaných skutků","6068","Celková kriminalita","0-999","Pardubický kraj","CZ053","2021","2021","4420"
"Počet registrovaných skutků","6068","Celková kriminalita","0-999","Pardubický kraj","CZ053","2022","2022","5230"
"Počet registrovaných skutků","6068","Celková kriminalita","0-999","Pardubický kraj","CZ053","2023","2023","4985"
"Počet registrovaných skutků","6068","Celková kriminalita","0-999","Pardubický kraj","CZ053","2024","2024","5238"
"Počet registrovaných skutků","6068","Celková kriminalita","0-999","Kraj Vysočina","CZ063","2005","2005","7993"
"Počet registrovaných skutků","6068","Celková kriminalita","0-999","Kraj Vysočina","CZ063","2006","2006","8184"
"Počet registrovaných skutků","6068","Celková kriminalita","0-999","Kraj Vysočina","CZ063","2007","2007","9612"
"Počet registrovaných skutků","6068","Celková kriminalita","0-999","Kraj Vysočina","CZ063","2008","2008","8872"
"Počet registrovaných skutků","6068","Celková kriminalita","0-999","Kraj Vysočina","CZ063","2009","2009","8984"
"Počet registrovaných skutků","6068","Celková kriminalita","0-999","Kraj Vysočina","CZ063","2010","2010","8678"
"Počet registrovaných skutků","6068","Celková kriminalita","0-999","Kraj Vysočina","CZ063","2011","2011","8613"
"Počet registrovaných skutků","6068","Celková kriminalita","0-999","Kraj Vysočina","CZ063","2012","2012","8543"
"Počet registrovaných skutků","6068","Celková kriminalita","0-999","Kraj Vysočina","CZ063","2013","2013","8761"
"Počet registrovaných skutků","6068","Celková kriminalita","0-999","Kraj Vysočina","CZ063","2014","2014","8107"
"Počet registrovaných skutků","6068","Celková kriminalita","0-999","Kraj Vysočina","CZ063","2015","2015","6880"
"Počet registrovaných skutků","6068","Celková kriminalita","0-999","Kraj Vysočina","CZ063","2016","2016","5986"
"Počet registrovaných skutků","6068","Celková kriminalita","0-999","Kraj Vysočina","CZ063","2017","2017","5459"
"Počet registrovaných skutků","6068","Celková kriminalita","0-999","Kraj Vysočina","CZ063","2018","2018","5312"
"Počet registrovaných skutků","6068","Celková kriminalita","0-999","Kraj Vysočina","CZ063","2019","2019","5538"
"Počet registrovaných skutků","6068","Celková kriminalita","0-999","Kraj Vysočina","CZ063","2020","2020","4835"
"Počet registrovaných skutků","6068","Celková kriminalita","0-999","Kraj Vysočina","CZ063","2021","2021","4374"
"Počet registrovaných skutků","6068","Celková kriminalita","0-999","Kraj Vysočina","CZ063","2022","2022","5240"
"Počet registrovaných skutků","6068","Celková kriminalita","0-999","Kraj Vysočina","CZ063","2023","2023","5605"
"Počet registrovaných skutků","6068","Celková kriminalita","0-999","Kraj Vysočina","CZ063","2024","2024","5160"
"Počet registrovaných skutků","6068","Celková kriminalita","0-999","Jihomoravský kraj","CZ064","2005","2005","30923"
"Počet registrovaných skutků","6068","Celková kriminalita","0-999","Jihomoravský kraj","CZ064","2006","2006","32042"
"Počet registrovaných skutků","6068","Celková kriminalita","0-999","Jihomoravský kraj","CZ064","2007","2007","33437"
"Počet registrovaných skutků","6068","Celková kriminalita","0-999","Jihomoravský kraj","CZ064","2008","2008","31700"
"Počet registrovaných skutků","6068","Celková kriminalita","0-999","Jihomoravský kraj","CZ064","2009","2009","30095"
"Počet registrovaných skutků","6068","Celková kriminalita","0-999","Jihomoravský kraj","CZ064","2010","2010","29312"
"Počet registrovaných skutků","6068","Celková kriminalita","0-999","Jihomoravský kraj","CZ064","2011","2011","29933"
"Počet registrovaných skutků","6068","Celková kriminalita","0-999","Jihomoravský kraj","CZ064","2012","2012","29533"
"Počet registrovaných skutků","6068","Celková kriminalita","0-999","Jihomoravský kraj","CZ064","2013","2013","29811"
"Počet registrovaných skutků","6068","Celková kriminalita","0-999","Jihomoravský kraj","CZ064","2014","2014","27109"
"Počet registrovaných skutků","6068","Celková kriminalita","0-999","Jihomoravský kraj","CZ064","2015","2015","23828"
"Počet registrovaných skutků","6068","Celková kriminalita","0-999","Jihomoravský kraj","CZ064","2016","2016","21599"
"Počet registrovaných skutků","6068","Celková kriminalita","0-999","Jihomoravský kraj","CZ064","2017","2017","20086"
"Počet registrovaných skutků","6068","Celková kriminalita","0-999","Jihomoravský kraj","CZ064","2018","2018","19562"
"Počet registrovaných skutků","6068","Celková kriminalita","0-999","Jihomoravský kraj","CZ064","2019","2019","19757"
"Počet registrovaných skutků","6068","Celková kriminalita","0-999","Jihomoravský kraj","CZ064","2020","2020","16985"
"Počet registrovaných skutků","6068","Celková kriminalita","0-999","Jihomoravský kraj","CZ064","2021","2021","15544"
"Počet registrovaných skutků","6068","Celková kriminalita","0-999","Jihomoravský kraj","CZ064","2022","2022","18579"
"Počet registrovaných skutků","6068","Celková kriminalita","0-999","Jihomoravský kraj","CZ064","2023","2023","17970"
"Počet registrovaných skutků","6068","Celková kriminalita","0-999","Jihomoravský kraj","CZ064","2024","2024","18079"
"Počet registrovaných skutků","6068","Celková kriminalita","0-999","Olomoucký kraj","CZ071","2005","2005","14841"
"Počet registrovaných skutků","6068","Celková kriminalita","0-999","Olomoucký kraj","CZ071","2006","2006","14092"
"Počet registrovaných skutků","6068","Celková kriminalita","0-999","Olomoucký kraj","CZ071","2007","2007","15734"
"Počet registrovaných skutků","6068","Celková kriminalita","0-999","Olomoucký kraj","CZ071","2008","2008","14883"
"Počet registrovaných skutků","6068","Celková kriminalita","0-999","Olomoucký kraj","CZ071","2009","2009","14235"
"Počet registrovaných skutků","6068","Celková kriminalita","0-999","Olomoucký kraj","CZ071","2010","2010","13721"
"Počet registrovaných skutků","6068","Celková kriminalita","0-999","Olomoucký kraj","CZ071","2011","2011","14347"
"Počet registrovaných skutků","6068","Celková kriminalita","0-999","Olomoucký kraj","CZ071","2012","2012","14367"
"Počet registrovaných skutků","6068","Celková kriminalita","0-999","Olomoucký kraj","CZ071","2013","2013","14768"
"Počet registrovaných skutků","6068","Celková kriminalita","0-999","Olomoucký kraj","CZ071","2014","2014","14066"
"Počet registrovaných skutků","6068","Celková kriminalita","0-999","Olomoucký kraj","CZ071","2015","2015","12609"
"Počet registrovaných skutků","6068","Celková kriminalita","0-999","Olomoucký kraj","CZ071","2016","2016","11600"
